Entrada,Respuesta
"¿Cuál es el país más grande del mundo?","Rusia es el país más grande del mundo en términos de superficie."
"¿Puedes hacerme una pregunta?","¿Cuál es tu color favorito?"
"¿Cuántos elementos hay en una docena?","Una docena tiene 12 elementos."
"¿Cuál es la capital de España?","La capital de España es Madrid."
"¿Puedes decirme un proverbio chino?","Un proverbio chino dice: 'Cuando el viento de cambio sopla, algunos construyen muros, otros construyen molinos.'"
"¿Cuántas cuerdas tiene una guitarra?","Una guitarra estándar tiene seis cuerdas."
"¿Cuál es el río más largo de América del Norte?","El río Misuri es el río más largo de América del Norte."
"¿Puedes decirme un dato sobre el espacio?","El Sol representa alrededor del 99.86% de la masa total del Sistema Solar."
"¿Cuántas caras tiene un cubo?","Un cubo tiene seis caras."
"¿Cuál es la capital de Sudáfrica?","La capital de Sudáfrica es Ciudad del Cabo (legislativa), Bloemfontein (judicial) y Pretoria (administrativa)."
"Apaga el foco","El foco ha sido apagado."
"Prende el foco","El foco ahora está encendido."
"Regula la intensidad del foco","La intensidad del foco ha sido ajustada."
